,index_x,Season_x,Week_x,Include_x,Team 1_x,Team 2_x,Spread Open,O/U Open,Open Favorite,Spread Close,O/U Close,Close Favorite,Spread Consensus Team 1,Spread Consensus Team 2,Over Consensus,Under Consensus,Moneyline Consensus Team 1,Moneyline Consensus Team 2,Game ID 1,Game ID 2,index_y,Season_y,Week_y,Include_y,Team 1_y,Team 2_y,Team 1 Final,Team 2 Final,Total Final
0,0,2020,1,True,Houston,KansasCity,-10.0,56.5,Team 2,-9.5,53.5,Team 2,50%,50%,72%,28%,26%,74%,20201HoustonKansasCity,20201KansasCityHouston,2136,2020,1,True,Houston,KansasCity,20.0,34.0,54.0
1,2,2020,1,True,LasVegas,Carolina,,,Team 1,,,Team 1,,,,,,,20201LasVegasCarolina,20201CarolinaLasVegas,2144,2020,1,True,LasVegas,Carolina,34.0,30.0,64.0
2,10,2020,1,True,LasVegas,Carolina,0.0,46.5,No Favorite,-3.0,48.0,Team 1,55%,45%,55%,45%,47%,53%,20201LasVegasCarolina,20201CarolinaLasVegas,2144,2020,1,True,LasVegas,Carolina,34.0,30.0,64.0
3,4,2020,1,True,Miami,NewEngland,-5.5,43.5,Team 2,-7.0,41.5,Team 2,42%,58%,58%,42%,51%,49%,20201MiamiNewEngland,20201NewEnglandMiami,2152,2020,1,True,Miami,NewEngland,11.0,21.0,32.0
4,6,2020,1,True,Cleveland,Baltimore,-9.0,48.5,Team 2,-7.0,47.5,Team 2,40%,60%,72%,28%,25%,75%,20201ClevelandBaltimore,20201BaltimoreCleveland,2140,2020,1,True,Cleveland,Baltimore,6.0,38.0,44.0
5,8,2020,1,True,NYJets,Buffalo,-5.5,40.0,Team 2,-6.0,39.0,Team 2,20%,80%,49%,51%,23%,77%,20201NYJetsBuffalo,20201BuffaloNYJets,2142,2020,1,True,NYJets,Buffalo,17.0,27.0,44.0
6,12,2020,1,True,Seattle,Atlanta,-1.0,48.5,Team 1,0.0,49.5,No Favorite,42%,58%,62%,38%,48%,52%,20201SeattleAtlanta,20201AtlantaSeattle,2138,2020,1,True,Seattle,Atlanta,38.0,25.0,63.0
7,14,2020,1,True,Philadelphia,Washington,-5.5,45.5,Team 1,-5.5,41.5,Team 1,51%,49%,57%,43%,63%,37%,20201PhiladelphiaWashington,20201WashingtonPhiladelphia,2154,2020,1,True,Philadelphia,Washington,17.0,27.0,44.0
8,16,2020,1,True,Chicago,Detroit,0.0,44.0,No Favorite,-2.0,42.0,Team 2,45%,55%,55%,45%,36%,64%,20201ChicagoDetroit,20201DetroitChicago,2146,2020,1,True,Chicago,Detroit,27.0,23.0,50.0
9,18,2020,1,True,Indianapolis,Jacksonville,-7.0,46.0,Team 1,-7.0,44.5,Team 1,66%,34%,58%,42%,75%,25%,20201IndianapolisJacksonville,20201JacksonvilleIndianapolis,2148,2020,1,True,Indianapolis,Jacksonville,20.0,27.0,47.0
10,20,2020,1,True,GreenBay,Minnesota,-3.0,46.5,Team 2,-1.5,44.5,Team 2,52%,48%,44%,56%,45%,55%,20201GreenBayMinnesota,20201MinnesotaGreenBay,2150,2020,1,True,GreenBay,Minnesota,43.0,34.0,77.0
11,22,2020,1,True,LAChargers,Cincinnati,-3.5,46.5,Team 1,-2.5,41.0,Team 1,48%,52%,40%,60%,42%,58%,20201LAChargersCincinnati,20201CincinnatiLAChargers,2156,2020,1,True,LAChargers,Cincinnati,16.0,13.0,29.0
12,24,2020,1,True,Arizona,SanFrancisco,-7.5,45.5,Team 2,-7.5,50.0,Team 1,48%,52%,64%,36%,35%,65%,20201ArizonaSanFrancisco,20201SanFranciscoArizona,2160,2020,1,True,Arizona,SanFrancisco,24.0,20.0,44.0
13,26,2020,1,True,TampaBay,NewOrleans,-4.5,50.5,Team 2,-4.0,48.5,Team 2,58%,42%,82%,18%,46%,54%,20201TampaBayNewOrleans,20201NewOrleansTampaBay,2158,2020,1,True,TampaBay,NewOrleans,23.0,34.0,57.0
14,28,2020,1,True,Dallas,LARams,-2.5,50.5,Team 1,0.0,52.0,No Favorite,66%,34%,60%,40%,60%,40%,20201DallasLARams,20201LARamsDallas,2162,2020,1,True,Dallas,LARams,17.0,20.0,37.0
15,30,2020,1,True,Pittsburgh,NYGiants,-3.0,48.0,Team 1,-6.0,44.0,Team 1,69%,31%,59%,41%,79%,21%,20201PittsburghNYGiants,20201NYGiantsPittsburgh,2164,2020,1,True,Pittsburgh,NYGiants,26.0,16.0,42.0
16,32,2020,1,True,Tennessee,Denver,-1.5,42.5,Team 2,-3.0,41.5,Team 1,67%,33%,58%,42%,78%,22%,20201TennesseeDenver,20201DenverTennessee,2166,2020,1,True,Tennessee,Denver,16.0,14.0,30.0
17,34,2020,2,True,Cincinnati,Cleveland,-8.5,46.0,Team 2,-6.0,44.5,Team 2,58%,42%,59%,41%,42%,58%,20202CincinnatiCleveland,20202ClevelandCincinnati,2168,2020,2,True,Cincinnati,Cleveland,30.0,35.0,65.0
18,36,2020,2,True,LARams,Philadelphia,-4.5,49.0,Team 2,-1.5,46.0,Team 2,70%,30%,75%,25%,56%,44%,20202LARamsPhiladelphia,20202PhiladelphiaLARams,2182,2020,2,True,LARams,Philadelphia,37.0,19.0,56.0
19,38,2020,2,True,Carolina,TampaBay,-8.5,48.0,Team 2,-8.5,47.0,Team 2,39%,61%,74%,26%,21%,79%,20202CarolinaTampaBay,20202TampaBayCarolina,2186,2020,2,True,Carolina,TampaBay,17.0,31.0,48.0
20,40,2020,2,True,Denver,Pittsburgh,-5.0,44.0,Team 2,-6.5,41.0,Team 2,29%,71%,46%,54%,10%,90%,20202DenverPittsburgh,20202PittsburghDenver,2184,2020,2,True,Denver,Pittsburgh,21.0,26.0,47.0
21,42,2020,2,True,Atlanta,Dallas,-7.5,50.0,Team 2,-3.0,53.5,Team 2,40%,60%,86%,14%,35%,65%,20202AtlantaDallas,20202DallasAtlanta,2172,2020,2,True,Atlanta,Dallas,39.0,40.0,79.0
22,44,2020,2,True,SanFrancisco,NYJets,-4.0,43.5,Team 1,-7.0,41.5,Team 1,68%,32%,36%,64%,76%,24%,20202SanFranciscoNYJets,20202NYJetsSanFrancisco,2180,2020,2,True,SanFrancisco,NYJets,31.0,13.0,44.0
23,46,2020,2,True,Buffalo,Miami,-3.0,43.0,Team 1,-5.5,42.5,Team 1,67%,33%,69%,31%,64%,36%,20202BuffaloMiami,20202MiamiBuffalo,2178,2020,2,True,Buffalo,Miami,31.0,28.0,59.0
24,48,2020,2,True,Minnesota,Indianapolis,-3.5,47.0,Team 2,-3.5,49.0,Team 2,72%,28%,73%,27%,80%,20%,20202MinnesotaIndianapolis,20202IndianapolisMinnesota,2176,2020,2,True,Minnesota,Indianapolis,11.0,28.0,39.0
25,50,2020,2,True,Detroit,GreenBay,-6.5,46.0,Team 2,-6.5,51.0,Team 2,27%,73%,84%,16%,11%,89%,20202DetroitGreenBay,20202GreenBayDetroit,2174,2020,2,True,Detroit,GreenBay,21.0,42.0,63.0
26,52,2020,2,True,NYGiants,Chicago,-5.0,43.5,Team 2,-4.5,42.5,Team 2,61%,39%,73%,27%,62%,38%,20202NYGiantsChicago,20202ChicagoNYGiants,2170,2020,2,True,NYGiants,Chicago,13.0,17.0,30.0
27,54,2020,2,True,Jacksonville,Tennessee,-11.0,42.5,Team 2,-7.0,44.5,Team 2,45%,55%,64%,36%,38%,62%,20202JacksonvilleTennessee,20202TennesseeJacksonville,2188,2020,2,True,Jacksonville,Tennessee,30.0,33.0,63.0
28,56,2020,2,True,Washington,Arizona,-7.0,45.5,Team 2,-7.0,46.5,Team 2,33%,67%,85%,15%,20%,80%,20202WashingtonArizona,20202ArizonaWashington,2190,2020,2,True,Washington,Arizona,15.0,30.0,45.0
29,58,2020,2,True,Baltimore,Houston,-6.0,54.5,Team 1,-7.5,49.5,Team 1,69%,31%,80%,20%,58%,42%,20202BaltimoreHouston,20202HoustonBaltimore,2192,2020,2,True,Baltimore,Houston,33.0,16.0,49.0
30,60,2020,2,True,KansasCity,LAChargers,-5.5,51.5,Team 1,-9.0,47.5,Team 1,83%,17%,64%,36%,90%,10%,20202KansasCityLAChargers,20202LAChargersKansasCity,2194,2020,2,True,KansasCity,LAChargers,23.0,20.0,43.0
31,62,2020,2,True,NewEngland,Seattle,-3.5,44.0,Team 2,-4.5,45.0,Team 2,35%,65%,63%,37%,17%,83%,20202NewEnglandSeattle,20202SeattleNewEngland,2196,2020,2,True,NewEngland,Seattle,30.0,35.0,65.0
32,64,2020,2,True,NewOrleans,LasVegas,-5.0,51.0,Team 1,-4.0,47.5,Team 1,58%,42%,70%,30%,60%,40%,20202NewOrleansLasVegas,20202LasVegasNewOrleans,2198,2020,2,True,NewOrleans,LasVegas,24.0,34.0,58.0
33,66,2020,3,True,Miami,Jacksonville,0.0,44.0,No Favorite,-2.5,49.0,Team 2,35%,65%,65%,35%,24%,76%,20203MiamiJacksonville,20203JacksonvilleMiami,2200,2020,3,True,Miami,Jacksonville,31.0,13.0,44.0
34,68,2020,3,True,LasVegas,NewEngland,-6.5,46.5,Team 2,-7.0,47.0,Team 2,38%,62%,59%,41%,48%,52%,20203LasVegasNewEngland,20203NewEnglandLasVegas,2210,2020,3,True,LasVegas,NewEngland,20.0,36.0,56.0
35,70,2020,3,True,LARams,Buffalo,-3.0,44.5,Team 2,-2.0,46.5,Team 2,42%,58%,66%,34%,51%,49%,20203LARamsBuffalo,20203BuffaloLARams,2204,2020,3,True,LARams,Buffalo,32.0,35.0,67.0
36,72,2020,3,True,Houston,Pittsburgh,-6.0,45.0,Team 2,-4.0,46.5,Team 2,52%,48%,80%,20%,9%,91%,20203HoustonPittsburgh,20203PittsburghHouston,2216,2020,3,True,Houston,Pittsburgh,21.0,28.0,49.0
